age,country,device_type,payment_method,purchase_complete
27,USA,mobile,cash,no
19,Australia,mobile,wallet,no
47,UK,mobile,card,yes
50,USA,mobile,cash,no
54,Germany,desktop,wallet,yes
62,UK,mobile,wallet,no
41,USA,tablet,cash,no
56,USA,mobile,ibanking,yes
51,Germany,desktop,card,yes
31,Australia,mobile,card,no
57,Australia,desktop,cash,yes
20,UK,mobile,wallet,no
46,USA,mobile,ibanking,no
62,USA,tablet,cash,yes
48,Australia,mobile,cash,yes
62,Germany,mobile,card,no
20,Australia,desktop,cash,no
43,Germany,desktop,card,yes
54,USA,mobile,card,no
48,USA,mobile,ibanking,yes
59,USA,desktop,card,yes
39,Australia,desktop,card,no
50,UK,tablet,ibanking,no
37,UK,mobile,cash,no
58,USA,desktop,cash,yes
23,Germany,mobile,card,yes
29,Australia,tablet,card,yes
22,Germany,mobile,cash,no
50,Germany,desktop,ibanking,yes
28,USA,mobile,cash,yes
32,USA,mobile,ibanking,no
57,UK,desktop,ibanking,yes
34,Germany,mobile,cash,yes
24,Australia,tablet,cash,yes
18,Australia,mobile,cash,no
28,Germany,desktop,card,no
60,Germany,mobile,ibanking,no
43,Australia,mobile,ibanking,yes
64,Germany,mobile,cash,yes
28,USA,mobile,cash,no
34,Australia,mobile,cash,yes
25,USA,desktop,ibanking,no
36,USA,desktop,wallet,no
44,Germany,desktop,card,yes
55,USA,mobile,cash,no
35,USA,mobile,card,no
54,Australia,mobile,cash,no
47,Germany,desktop,card,no
31,USA,desktop,cash,no
60,Germany,mobile,cash,yes
38,Germany,desktop,cash,no
25,Germany,mobile,cash,yes
63,USA,mobile,wallet,no
60,USA,mobile,wallet,no
20,USA,mobile,card,no
60,USA,desktop,cash,no
62,Australia,tablet,wallet,no
56,Australia,mobile,ibanking,yes
29,Germany,mobile,card,yes
47,Germany,desktop,ibanking,yes
43,USA,tablet,card,no
47,Australia,desktop,card,yes
46,Australia,mobile,ibanking,yes
48,USA,desktop,ibanking,no
42,USA,mobile,wallet,yes
50,Australia,tablet,cash,no
42,Australia,mobile,wallet,yes
18,Germany,desktop,cash,yes
19,Germany,mobile,ibanking,no
63,Australia,mobile,card,yes
60,Germany,desktop,card,yes
45,Australia,desktop,wallet,no
26,UK,mobile,wallet,no
54,Germany,tablet,wallet,no
24,Germany,desktop,cash,yes
35,Germany,mobile,card,no
33,Germany,mobile,wallet,yes
18,USA,mobile,ibanking,no
55,Australia,desktop,card,no
41,USA,mobile,wallet,yes
32,USA,mobile,wallet,yes
41,Australia,tablet,cash,yes
18,USA,tablet,wallet,no
38,Germany,desktop,wallet,no
42,Germany,tablet,ibanking,no
33,Germany,desktop,ibanking,yes
57,USA,desktop,cash,yes
29,Australia,desktop,wallet,yes
24,Germany,mobile,wallet,yes
42,Australia,mobile,wallet,no
59,Germany,mobile,ibanking,no
35,USA,desktop,card,no
20,Australia,mobile,cash,no
63,Australia,mobile,cash,no
38,Germany,mobile,wallet,yes
26,USA,mobile,ibanking,yes
46,Australia,mobile,ibanking,yes
33,Germany,desktop,card,yes
62,Germany,desktop,wallet,yes
31,UK,mobile,cash,yes
43,UK,mobile,card,no
43,USA,mobile,wallet,yes
29,Germany,desktop,card,no
41,UK,desktop,card,no
23,USA,mobile,card,no
48,USA,desktop,cash,yes
53,Australia,mobile,card,yes
62,Germany,mobile,wallet,no
33,Germany,tablet,ibanking,yes
31,UK,mobile,cash,no
43,Australia,mobile,card,yes
50,Germany,mobile,cash,yes
64,Germany,desktop,card,no
19,Australia,tablet,wallet,no
29,Germany,tablet,cash,yes
30,UK,mobile,cash,no
30,USA,mobile,card,yes
39,USA,desktop,card,no
59,Australia,mobile,card,yes
19,USA,desktop,card,yes
56,Australia,desktop,ibanking,yes
47,USA,mobile,wallet,yes
46,Germany,desktop,wallet,yes
49,Australia,mobile,cash,no
23,Germany,mobile,wallet,yes
53,Australia,mobile,ibanking,yes
29,Germany,mobile,card,yes
42,Germany,desktop,card,yes
49,Germany,desktop,ibanking,no
46,Australia,tablet,cash,no
33,Germany,tablet,card,yes
36,UK,mobile,wallet,no
40,Australia,mobile,ibanking,yes
19,Germany,desktop,ibanking,yes
52,Australia,tablet,wallet,no
22,Germany,mobile,wallet,yes
39,UK,mobile,wallet,no
48,Australia,mobile,cash,yes
