age,income,education_level,approved
54,54444,bachelor,1
20,29130,high_school,1
34,27193,masters,1
37,46895,bachelor,1
51,54828,high_school,1
23,40603,phd,1
36,20704,bachelor,1
24,19596,bachelor,1
51,18592,high_school,1
44,13485,high_school,0
38,41642,high_school,1
34,56875,masters,1
24,39798,bachelor,1
56,8000,masters,0
45,37138,high_school,1
31,37558,high_school,1
35,71439,bachelor,1
48,18142,high_school,1
48,34139,masters,1
37,65587,bachelor,1
30,46749,bachelor,1
45,48449,high_school,1
45,41718,phd,1
43,44949,masters,1
21,51664,bachelor,1
37,27857,high_school,1
43,53170,high_school,1
57,19404,high_school,1
40,44925,high_school,1
32,42681,bachelor,1
41,30755,bachelor,1
25,39659,phd,1
21,30661,high_school,1
46,23924,high_school,1
59,34695,high_school,1
53,23440,high_school,1
42,44841,high_school,1
19,22748,high_school,1
59,50679,high_school,1
36,22277,bachelor,1
30,31505,high_school,1
55,30630,masters,1
49,59877,bachelor,1
49,44954,high_school,1
29,36823,masters,1
59,47480,masters,1
37,8392,high_school,0
40,39352,high_school,1
49,69962,bachelor,1
45,41985,high_school,1
25,41018,high_school,1
30,48221,high_school,1
33,53434,bachelor,1
57,10037,bachelor,1
48,14765,bachelor,1
33,43154,bachelor,1
48,29276,high_school,1
49,59680,bachelor,1
34,35272,high_school,1
34,10982,high_school,0
55,20979,bachelor,1
41,8000,high_school,0
24,36488,bachelor,1
48,37174,bachelor,1
42,33633,bachelor,1
39,56183,bachelor,1
48,57977,bachelor,1
56,37444,high_school,1
31,8000,high_school,1
35,49259,high_school,1
25,48330,high_school,1
45,44640,high_school,1
34,54722,masters,1
32,22527,high_school,1
47,70131,high_school,1
35,25608,high_school,1
37,51238,high_school,1
36,14689,bachelor,1
28,26046,bachelor,1
23,62745,bachelor,1
52,36086,bachelor,1
21,52598,high_school,1
31,43554,masters,1
46,38425,high_school,1
23,60457,high_school,1
45,36450,high_school,1
48,13288,bachelor,1
45,27951,high_school,1
30,48267,high_school,1
18,45932,bachelor,1
55,16494,high_school,1
31,29134,bachelor,1
51,31274,high_school,1
26,34517,high_school,1
24,19361,high_school,1
50,30574,bachelor,1
57,29070,high_school,1
54,51572,high_school,1
49,52136,high_school,1
28,37812,phd,1
56,34119,masters,1
46,42098,bachelor,1
25,27751,high_school,1
23,22797,phd,1
54,25896,bachelor,1
29,30477,bachelor,1
50,22547,high_school,1
23,42430,high_school,1
29,50945,high_school,1
29,16193,masters,1
29,40376,high_school,1
46,36700,high_school,1
56,45122,high_school,1
56,39805,bachelor,1
49,18196,high_school,1
26,21064,masters,1
58,40441,bachelor,1
40,55431,bachelor,1
40,8000,high_school,0
47,45185,bachelor,1
50,57844,bachelor,1
58,37704,bachelor,1
42,48253,high_school,1
43,29453,high_school,1
49,38209,high_school,1
28,15686,high_school,1
30,8000,high_school,0
44,54141,high_school,1
20,25225,high_school,1
31,33167,bachelor,1
48,19203,high_school,1
58,18850,masters,1
39,37392,bachelor,1
34,29056,high_school,1
36,45669,bachelor,1
