age,income,education_level,job_level,city,approved
27,55845,master,entry,Munich,no
21,28671,bachelor,junior,Cambridge,no
45,8000,master,entry,Berlin,no
47,13495,bachelor,entry,Geneva,no
50,61324,high_school,mid,London,no
58,33981,phd,junior,Cambridge,yes
39,28739,master,senior,Munich,yes
53,64639,master,junior,Vienna,yes
48,58977,high_school,mid,Munich,yes
31,40366,bachelor,junior,Berlin,yes
53,35598,bachelor,mid,Geneva,yes
22,38018,master,mid,Cambridge,yes
43,43407,bachelor,junior,London,no
57,64000,master,lead,Geneva,yes
46,46337,bachelor,junior,Munich,no
57,50890,high_school,entry,Berlin,no
22,57539,bachelor,mid,Munich,yes
41,22454,high_school,senior,Berlin,yes
51,51322,master,entry,Munich,no
45,35581,bachelor,junior,London,yes
55,8000,master,senior,Berlin,yes
38,8077,bachelor,mid,Berlin,yes
47,24728,phd,lead,Vienna,yes
36,47968,master,mid,Munich,yes
54,41706,master,mid,Geneva,yes
24,42765,high_school,junior,Berlin,no
30,69264,bachelor,senior,Munich,yes
23,20963,high_school,junior,Geneva,no
48,39588,high_school,mid,London,yes
29,44566,bachelor,junior,Geneva,no
32,28955,bachelor,mid,Vienna,no
53,40424,phd,mid,Vienna,yes
34,16000,high_school,mid,Munich,no
25,61148,bachelor,senior,Munich,yes
20,29775,bachelor,junior,Geneva,no
29,70471,high_school,mid,Berlin,no
56,39512,high_school,junior,London,no
41,55420,bachelor,junior,Vienna,yes
59,39200,high_school,junior,Munich,no
28,39538,bachelor,entry,Geneva,yes
34,31239,bachelor,entry,Munich,no
26,41786,master,mid,Vienna,yes
35,44769,bachelor,mid,London,no
42,28236,high_school,mid,Berlin,no
52,38124,master,entry,Geneva,yes
34,30848,master,junior,Berlin,yes
50,74494,bachelor,entry,Geneva,no
45,38654,high_school,senior,Munich,yes
31,63178,bachelor,senior,Geneva,yes
56,37065,high_school,entry,Geneva,yes
37,43889,high_school,mid,Munich,yes
26,20179,high_school,entry,Geneva,no
58,33293,master,junior,London,yes
56,43158,bachelor,entry,London,yes
21,63790,bachelor,junior,Berlin,yes
56,43329,master,mid,Geneva,yes
57,60755,bachelor,senior,Cambridge,yes
53,49610,bachelor,entry,Vienna,no
30,64411,high_school,mid,Munich,yes
45,39114,high_school,mid,Vienna,no
41,75853,bachelor,lead,Berlin,yes
44,32719,bachelor,mid,Berlin,yes
44,28503,bachelor,junior,Vienna,no
45,21849,master,mid,Vienna,yes
40,74965,bachelor,junior,London,yes
47,52291,bachelor,lead,Geneva,yes
41,34988,bachelor,junior,Cambridge,no
20,58735,high_school,mid,Geneva,no
21,50315,high_school,entry,London,yes
58,69491,bachelor,junior,Berlin,yes
56,16782,high_school,senior,Berlin,yes
43,36019,bachelor,mid,London,yes
26,33062,master,junior,Cambridge,yes
51,10394,high_school,senior,Cambridge,no
25,55904,high_school,senior,Munich,no
35,35944,high_school,junior,Berlin,yes
33,51094,high_school,mid,Cambridge,no
20,75396,bachelor,junior,Vienna,yes
52,34701,bachelor,mid,Munich,yes
40,33682,master,junior,London,no
32,41779,bachelor,entry,Cambridge,yes
40,54808,bachelor,senior,Munich,yes
20,31499,master,senior,London,yes
37,30535,high_school,senior,London,no
40,55857,high_school,lead,Vienna,yes
33,45679,high_school,mid,Vienna,yes
53,9329,bachelor,senior,Munich,no
29,21619,bachelor,senior,Cambridge,no
25,62518,high_school,junior,Cambridge,yes
41,46028,bachelor,junior,Cambridge,no
55,28567,high_school,entry,London,no
35,37443,bachelor,mid,Berlin,yes
21,40198,bachelor,junior,Geneva,no
58,51036,bachelor,junior,Geneva,yes
37,19626,high_school,mid,Cambridge,no
26,27385,bachelor,junior,Vienna,no
44,44094,bachelor,entry,Vienna,no
32,38502,high_school,senior,Berlin,no
57,48577,high_school,senior,London,yes
31,21557,phd,entry,Geneva,no
42,45356,master,entry,Berlin,yes
41,56373,bachelor,junior,Cambridge,yes
29,47302,high_school,senior,Munich,yes
39,42086,phd,senior,Berlin,yes
24,38561,master,entry,Berlin,no
45,27477,bachelor,senior,Geneva,no
50,38920,bachelor,entry,Berlin,no
58,58895,high_school,junior,Cambridge,yes
33,38214,high_school,lead,Vienna,yes
31,26652,master,entry,Munich,yes
41,32616,bachelor,entry,Berlin,yes
47,43012,high_school,junior,Geneva,no
59,34397,high_school,mid,Berlin,no
21,47279,bachelor,senior,Cambridge,yes
29,47842,high_school,lead,Munich,no
30,53334,master,entry,Geneva,yes
30,61353,master,entry,Berlin,yes
38,54937,bachelor,senior,Berlin,yes
54,25986,bachelor,junior,Munich,yes
21,26446,bachelor,senior,Berlin,yes
52,38863,bachelor,mid,London,yes
44,33232,bachelor,entry,Cambridge,yes
44,22925,high_school,senior,Cambridge,no
47,33374,bachelor,entry,Munich,no
24,32882,high_school,junior,London,no
49,29922,bachelor,mid,Vienna,yes
29,35263,high_school,mid,Berlin,no
40,57676,high_school,mid,Berlin,yes
47,42988,high_school,mid,Vienna,yes
44,77077,bachelor,lead,Geneva,yes
32,42557,high_school,lead,Berlin,yes
35,35649,master,mid,Cambridge,no
39,40061,bachelor,entry,London,yes
21,43847,high_school,mid,Vienna,yes
49,46528,bachelor,lead,Cambridge,yes
23,71150,high_school,junior,Cambridge,yes
38,27320,phd,junior,Cambridge,yes
46,52885,bachelor,junior,Munich,no
23,43116,master,entry,Cambridge,yes
59,16433,high_school,mid,Vienna,no
35,51560,bachelor,junior,London,yes
20,59014,bachelor,senior,Cambridge,yes
46,27142,master,senior,Berlin,yes
42,39865,bachelor,senior,Geneva,yes
45,14119,bachelor,junior,Berlin,no
50,21117,high_school,junior,Munich,no
39,55720,high_school,mid,Geneva,no
53,33003,bachelor,senior,Cambridge,no
34,23367,bachelor,junior,Cambridge,yes
41,43441,high_school,senior,Geneva,no
26,32163,master,entry,Munich,no
44,32937,master,senior,Vienna,yes
30,51089,high_school,entry,Cambridge,no
47,22573,bachelor,entry,Cambridge,no
52,26419,high_school,mid,Munich,no
54,42311,bachelor,entry,Munich,no
57,54541,high_school,entry,London,yes
24,58572,bachelor,entry,Munich,no
25,30024,bachelor,junior,Munich,yes
57,54060,master,senior,Berlin,no
35,28237,high_school,entry,Geneva,no
21,67393,master,mid,Geneva,yes
31,22993,high_school,senior,Vienna,yes
53,59927,high_school,entry,Munich,yes
34,30152,bachelor,entry,London,no
23,70198,bachelor,senior,London,yes
48,48869,master,senior,Geneva,yes
27,24759,master,mid,Munich,yes
34,32166,high_school,senior,Vienna,no
20,51717,phd,entry,London,yes
44,55789,high_school,junior,Geneva,no
37,38939,bachelor,mid,Munich,yes
54,40669,high_school,junior,Vienna,no
33,51375,master,senior,Geneva,yes
28,41976,high_school,mid,Geneva,yes
26,20597,high_school,senior,Geneva,yes
