age,income,education,city,employment,target
21,107,bachelor,Pokhara,private,1
50,67,bachelor,Biratnagar,student,1
45,118,master,Biratnagar,private,1
36,96,bachelor,Lalitpur,student,1
36,85,high_school,Biratnagar,self_employed,1
54,110,high_school,Kathmandu,student,0
21,71,bachelor,Pokhara,student,1
47,92,bachelor,Kathmandu,student,0
26,48,high_school,Kathmandu,student,0
21,116,bachelor,Lalitpur,student,1
40,82,master,Biratnagar,government,0
58,98,master,Lalitpur,private,0
48,66,bachelor,Pokhara,government,1
49,106,bachelor,Pokhara,self_employed,0
48,27,high_school,Pokhara,government,1
51,31,bachelor,Kathmandu,government,0
39,70,high_school,Kathmandu,private,1
23,93,bachelor,Pokhara,student,1
53,100,bachelor,Kathmandu,private,0
36,64,high_school,Lalitpur,self_employed,0
39,84,high_school,Kathmandu,government,0
33,75,high_school,Kathmandu,private,0
25,116,master,Biratnagar,private,0
56,85,bachelor,Kathmandu,self_employed,0
50,61,high_school,Lalitpur,government,0
45,116,master,Biratnagar,private,0
34,30,bachelor,Kathmandu,self_employed,1
52,118,bachelor,Biratnagar,government,1
40,35,master,Pokhara,government,0
36,48,high_school,Biratnagar,student,1
36,102,high_school,Biratnagar,student,0
27,93,bachelor,Biratnagar,self_employed,1
21,117,high_school,Pokhara,private,1
41,94,bachelor,Kathmandu,private,1
55,83,high_school,Biratnagar,private,0
20,54,high_school,Lalitpur,student,0
54,20,high_school,Pokhara,self_employed,0
52,32,bachelor,Biratnagar,student,1
29,49,high_school,Pokhara,self_employed,1
44,24,high_school,Biratnagar,private,0
24,70,master,Lalitpur,private,1
49,97,high_school,Kathmandu,student,1
47,116,bachelor,Kathmandu,self_employed,0
32,68,high_school,Pokhara,student,0
20,107,bachelor,Pokhara,student,1
58,118,high_school,Pokhara,government,0
36,105,bachelor,Kathmandu,private,0
55,66,high_school,Pokhara,private,1
46,52,master,Pokhara,student,0
50,117,master,Pokhara,self_employed,0
49,44,high_school,Biratnagar,private,0
26,61,high_school,Biratnagar,student,0
33,27,high_school,Pokhara,private,0
37,99,bachelor,Biratnagar,student,1
38,84,high_school,Pokhara,private,1
19,28,master,Pokhara,student,1
40,42,master,Pokhara,student,1
24,75,master,Kathmandu,private,1
49,74,bachelor,Kathmandu,self_employed,1
46,100,phd,Pokhara,student,0
56,46,high_school,Lalitpur,student,0
49,112,bachelor,Biratnagar,self_employed,0
33,64,high_school,Kathmandu,self_employed,1
58,102,master,Pokhara,government,0
35,43,bachelor,Kathmandu,student,0
31,23,master,Biratnagar,private,0
56,25,high_school,Biratnagar,student,0
33,57,phd,Pokhara,student,1
21,115,bachelor,Pokhara,private,1
37,24,bachelor,Kathmandu,private,1
51,56,phd,Pokhara,private,0
25,30,bachelor,Lalitpur,government,1
37,113,bachelor,Biratnagar,private,1
23,87,bachelor,Pokhara,private,0
46,96,high_school,Kathmandu,government,0
37,91,high_school,Kathmandu,self_employed,0
31,85,high_school,Kathmandu,private,0
27,97,high_school,Kathmandu,private,0
41,20,master,Kathmandu,private,1
46,106,bachelor,Lalitpur,student,0
57,93,bachelor,Pokhara,government,1
36,93,bachelor,Kathmandu,student,1
24,59,bachelor,Kathmandu,private,0
52,100,bachelor,Kathmandu,private,1
44,58,master,Biratnagar,student,1
47,24,master,Kathmandu,student,0
22,110,bachelor,Biratnagar,private,1
31,43,high_school,Biratnagar,self_employed,1
50,30,bachelor,Kathmandu,government,0
52,82,bachelor,Pokhara,private,0
36,43,bachelor,Lalitpur,student,1
51,105,bachelor,Pokhara,government,1
53,64,bachelor,Kathmandu,student,0
34,20,high_school,Lalitpur,private,0
55,115,high_school,Lalitpur,government,0
30,71,bachelor,Pokhara,private,1
28,46,high_school,Pokhara,private,1
46,87,high_school,Kathmandu,student,0
44,73,bachelor,Biratnagar,student,0
23,22,bachelor,Pokhara,private,1
52,95,high_school,Kathmandu,self_employed,0
26,60,bachelor,Biratnagar,student,1
51,89,master,Lalitpur,private,0
18,109,high_school,Biratnagar,government,0
51,81,master,Kathmandu,student,0
51,87,master,Kathmandu,student,0
50,45,bachelor,Lalitpur,private,0
45,43,bachelor,Lalitpur,government,1
37,61,high_school,Pokhara,private,0
47,105,master,Pokhara,government,0
29,72,bachelor,Pokhara,self_employed,0
50,54,master,Pokhara,government,0
41,97,bachelor,Kathmandu,self_employed,0
37,105,high_school,Kathmandu,government,0
39,110,high_school,Kathmandu,self_employed,0
41,49,bachelor,Biratnagar,self_employed,0
19,90,bachelor,Kathmandu,government,1
23,79,high_school,Kathmandu,self_employed,1
28,64,bachelor,Pokhara,self_employed,1
22,59,master,Kathmandu,private,1
36,31,bachelor,Kathmandu,government,1
46,47,bachelor,Pokhara,private,0
45,74,high_school,Kathmandu,self_employed,0
37,108,master,Pokhara,private,0
53,106,high_school,Lalitpur,self_employed,1
41,38,master,Kathmandu,government,0
21,87,bachelor,Lalitpur,self_employed,0
50,28,bachelor,Lalitpur,student,1
42,87,high_school,Biratnagar,government,0
44,54,high_school,Pokhara,government,1
41,64,master,Pokhara,self_employed,0
41,91,bachelor,Pokhara,self_employed,0
21,62,bachelor,Biratnagar,private,1
41,100,phd,Kathmandu,private,0
51,73,phd,Lalitpur,student,0
30,119,master,Pokhara,self_employed,0
43,83,high_school,Biratnagar,private,0
19,49,bachelor,Kathmandu,government,1
32,97,master,Kathmandu,government,0
36,60,bachelor,Pokhara,private,0
59,73,high_school,Pokhara,student,1
27,33,master,Pokhara,student,0
29,31,bachelor,Kathmandu,self_employed,1
35,77,bachelor,Kathmandu,private,0
59,38,phd,Pokhara,student,0
53,119,bachelor,Kathmandu,government,0
19,105,bachelor,Lalitpur,private,1
27,90,bachelor,Kathmandu,self_employed,1
52,93,bachelor,Kathmandu,private,0
20,79,high_school,Kathmandu,student,0
53,26,master,Pokhara,student,0
29,59,master,Pokhara,private,0
56,69,high_school,Pokhara,private,0
30,111,high_school,Lalitpur,government,0
36,41,master,Kathmandu,private,0
45,69,high_school,Biratnagar,private,1
23,54,bachelor,Kathmandu,private,0
41,33,bachelor,Kathmandu,private,1
39,30,bachelor,Pokhara,self_employed,1
50,56,high_school,Kathmandu,student,0
59,28,bachelor,Pokhara,self_employed,0
45,26,bachelor,Biratnagar,private,0
35,55,bachelor,Biratnagar,student,0
35,40,high_school,Pokhara,student,0
35,75,bachelor,Pokhara,student,0
52,21,bachelor,Kathmandu,government,1
31,50,high_school,Kathmandu,private,0
25,65,high_school,Kathmandu,private,0
32,116,high_school,Biratnagar,government,0
18,83,high_school,Lalitpur,government,0
22,108,high_school,Kathmandu,self_employed,0
21,54,master,Pokhara,self_employed,1
50,64,bachelor,Biratnagar,government,0
48,62,master,Biratnagar,self_employed,0
47,108,phd,Pokhara,government,0
37,115,high_school,Pokhara,private,0
48,116,bachelor,Biratnagar,government,0
24,95,master,Lalitpur,student,1
55,70,bachelor,Kathmandu,government,0
39,74,bachelor,Lalitpur,self_employed,0
57,118,bachelor,Kathmandu,student,1
24,48,high_school,Biratnagar,self_employed,0
