age,income,buy_product,city,membership
56,57.0,0,Pokhara,free
46,43.0,0,Pokhara,gold
32,,1,Pokhara,gold
25,117.0,1,Kathmandu,free
38,,0,Pokhara,gold
56,105.0,0,Pokhara,gold
36,30.0,0,Biratnagar,silver
40,35.0,0,Pokhara,gold
28,116.0,1,Biratnagar,free
28,,1,Kathmandu,silver
41,78.0,0,Kathmandu,silver
53,89.0,0,Kathmandu,free
57,500.0,0,Kathmandu,free
41,112.0,0,Biratnagar,silver
20,22.0,0,Pokhara,gold
39,39.0,1,Kathmandu,silver
19,78.0,1,Pokhara,free
41,55.0,0,Biratnagar,silver
47,38.0,0,Biratnagar,free
55,109.0,0,Biratnagar,silver
19,86.0,1,Kathmandu,gold
38,38.0,0,Pokhara,silver
50,39.0,0,Pokhara,silver
29,115.0,1,Pokhara,free
39,90.0,0,Biratnagar,free
42,71.0,0,Kathmandu,free
44,52.0,0,Biratnagar,silver
59,59.0,0,Biratnagar,gold
45,58.0,0,Pokhara,free
33,101.0,1,Biratnagar,free
32,20.0,0,Pokhara,silver
20,30.0,0,Kathmandu,free
54,111.0,0,Pokhara,gold
24,76.0,1,Kathmandu,gold
38,108.0,0,Pokhara,free
26,69.0,1,Biratnagar,free
56,,0,Biratnagar,silver
35,,0,Kathmandu,gold
21,113.0,1,Kathmandu,gold
42,61.0,0,Kathmandu,free
31,118.0,1,Pokhara,silver
26,26.0,0,Pokhara,gold
43,35.0,0,Kathmandu,gold
19,109.0,1,Biratnagar,silver
37,79.0,0,Pokhara,silver
45,21.0,0,Pokhara,gold
24,20.0,0,Pokhara,gold
25,67.0,1,Kathmandu,silver
52,31.0,0,Kathmandu,gold
31,88.0,1,Kathmandu,free
34,56.0,0,Kathmandu,free
53,51.0,0,Kathmandu,silver
57,28.0,0,Biratnagar,silver
21,118.0,1,Biratnagar,silver
19,38.0,1,Kathmandu,free
23,67.0,1,Pokhara,gold
59,99.0,0,Kathmandu,free
21,22.0,0,Biratnagar,gold
46,39.0,0,Biratnagar,free
35,43.0,0,Pokhara,gold
43,73.0,0,Biratnagar,free
51,52.0,0,Kathmandu,silver
27,43.0,0,Pokhara,free
53,94.0,0,Kathmandu,gold
31,91.0,1,Kathmandu,free
48,55.0,0,Pokhara,free
32,57.0,0,Kathmandu,free
25,103.0,1,Biratnagar,silver
31,118.0,1,Kathmandu,free
40,108.0,0,Pokhara,silver
57,118.0,0,Pokhara,silver
38,44.0,1,Pokhara,free
33,112.0,1,Kathmandu,free
35,37.0,0,Pokhara,free
41,101.0,0,Pokhara,gold
43,85.0,1,Kathmandu,free
42,,1,Biratnagar,silver
58,54.0,0,Kathmandu,free
46,99.0,0,Pokhara,gold
32,80.0,1,Pokhara,free
18,60.0,0,Kathmandu,gold
42,119.0,0,Biratnagar,gold
24,52.0,0,Pokhara,free
26,500.0,1,Pokhara,silver
41,52.0,0,Pokhara,gold
18,33.0,0,Kathmandu,free
25,40.0,0,Pokhara,free
41,67.0,0,Biratnagar,silver
28,39.0,0,Pokhara,gold
34,27.0,0,Pokhara,gold
25,26.0,0,Biratnagar,free
52,86.0,0,Pokhara,free
52,36.0,0,Kathmandu,silver
50,52.0,0,Kathmandu,silver
22,67.0,1,Kathmandu,gold
59,95.0,0,Biratnagar,gold
56,78.0,0,Pokhara,free
58,105.0,0,Kathmandu,gold
45,41.0,0,Biratnagar,silver
24,,0,Pokhara,silver
26,57.0,0,Biratnagar,free
25,70.0,0,Kathmandu,silver
29,73.0,1,Kathmandu,silver
51,27.0,0,Kathmandu,silver
50,46.0,0,Biratnagar,silver
40,46.0,0,Biratnagar,free
41,117.0,0,Kathmandu,free
54,40.0,0,Biratnagar,gold
52,49.0,0,Kathmandu,silver
57,116.0,0,Kathmandu,gold
39,47.0,0,Pokhara,free
44,83.0,0,Biratnagar,free
52,116.0,0,Kathmandu,free
18,88.0,1,Kathmandu,free
52,80.0,0,Biratnagar,free
54,67.0,0,Pokhara,free
31,38.0,0,Pokhara,free
20,23.0,0,Kathmandu,silver
18,54.0,0,Biratnagar,gold
22,83.0,1,Pokhara,free
43,68.0,0,Biratnagar,silver
31,36.0,0,Biratnagar,silver
56,63.0,1,Kathmandu,gold
44,111.0,0,Pokhara,free
26,49.0,0,Kathmandu,gold
32,,1,Pokhara,free
32,65.0,1,Pokhara,silver
43,25.0,1,Pokhara,silver
59,118.0,0,Pokhara,silver
30,500.0,0,Pokhara,silver
49,43.0,0,Biratnagar,gold
56,112.0,0,Kathmandu,free
49,65.0,0,Biratnagar,free
21,,0,Pokhara,gold
47,114.0,0,Kathmandu,free
54,118.0,0,Pokhara,silver
40,79.0,1,Kathmandu,free
56,,0,Biratnagar,silver
32,,1,Kathmandu,gold
46,104.0,1,Kathmandu,free
53,51.0,1,Kathmandu,gold
30,106.0,1,Kathmandu,free
49,52.0,0,Kathmandu,silver
24,86.0,1,Pokhara,gold
39,37.0,0,Kathmandu,free
45,44.0,0,Kathmandu,silver
19,114.0,1,Biratnagar,gold
59,73.0,0,Kathmandu,gold
23,77.0,0,Biratnagar,free
45,86.0,1,Pokhara,free
45,,0,Kathmandu,free
37,43.0,0,Biratnagar,silver
47,51.0,0,Biratnagar,free
28,66.0,1,Pokhara,gold
45,105.0,1,Kathmandu,gold
42,42.0,0,Kathmandu,free
56,85.0,0,Biratnagar,free
50,46.0,0,Kathmandu,gold
18,21.0,1,Biratnagar,silver
44,109.0,1,Kathmandu,free
30,,0,Biratnagar,free
58,52.0,0,Kathmandu,gold
20,28.0,0,Pokhara,free
56,62.0,0,Kathmandu,silver
23,67.0,1,Kathmandu,gold
25,58.0,0,Pokhara,free
44,112.0,0,Kathmandu,gold
26,500.0,1,Pokhara,free
54,45.0,0,Kathmandu,free
50,118.0,0,Biratnagar,free
59,69.0,0,Biratnagar,silver
41,,0,Kathmandu,silver
32,43.0,0,Kathmandu,gold
49,32.0,0,Kathmandu,free
49,79.0,0,Biratnagar,free
41,26.0,0,Kathmandu,silver
58,76.0,0,Biratnagar,free
29,,0,Pokhara,silver
56,64.0,0,Biratnagar,free
19,39.0,0,Biratnagar,gold
20,84.0,0,Pokhara,free
54,27.0,0,Biratnagar,free
34,35.0,0,Kathmandu,silver
19,33.0,0,Kathmandu,free
19,95.0,1,Biratnagar,free
45,106.0,1,Kathmandu,silver
40,34.0,0,Biratnagar,gold
54,111.0,0,Kathmandu,gold
49,117.0,0,Kathmandu,silver
50,85.0,0,Biratnagar,silver
18,51.0,0,Kathmandu,silver
36,106.0,1,Biratnagar,silver
19,82.0,1,Kathmandu,silver
43,105.0,0,Kathmandu,gold
49,70.0,0,Pokhara,gold
23,44.0,0,Pokhara,silver
49,77.0,0,Biratnagar,free
21,82.0,1,Pokhara,silver
28,81.0,1,Biratnagar,free
34,41.0,0,Pokhara,silver
