,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features
0,100001,Berkshire Easy Lite,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"Everybody likes easy, so we made this NEIPA easy to like with Citra, Amarillo and Simcoe hops, a medium body and fermented it with a German style ale yeast. This double dry-hopped brew has a hazy straw color and a clean finish to make Easy Like a session-able NEIPA, easy for you to enjoy any time. #EasyLikeNEIPA",Massachusetts,United States,4.50%,20,,,,"Grilled chicken, Salad, Light pasta dishes",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
1,100813,Berkshire Brewing Inhopnito,Berkshire Brewing Company,,Beer,Ale,IPA,,"InHOPnito American IPA is a refreshing brew with medium body
and bitterness, yet high in aroma and flavor. The scent of
cantaloupe, light citrus and berries stands out among the
tropical bouquet. The flavor follows suit, with more tropical
notes of pineapple, mango, and passion fruit backed up by a
subtle caramel accent.",Massachusetts,United States,6.20%,,,,,"Spicy Thai food, Grilled sausages, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft,
2,100814,Berkshire Lost Sailor IPA,Berkshire Brewing Company,,Beer,Ale,IPA,,"A medium bodied India Pale Ale, dry hopped to provide a very pleasing flora, citrus aroma. Well balanced between malty sweetness and hop bitterness. A very thirst quenching IPA.",Massachusetts,United States,5.80%,55,,,"Malty, Hoppy, Herbal, Bitter","Spicy Thai curry, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft,
3,101754,Berkshire Green Gown DIPA,Berkshire Brewing Company,,Beer,Ale,IPA,Imperial / Double IPA,"A high gravity New England style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This quarterly release is the shade of a hazy sunset, and is the perfect pairing for any season in New England. The alcohol is substantial enough to warm you in the winter, the aromatics welcome spring with bright floral and fruit, in summer the hop flavors of citrus and melon are reminiscent of fruit salad, and in fall the malt backbone and bready accents complement the cool autumn breezes. Coming in at 8.5% ABV, this beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. 2 row pale malt and German pilsner malt create a canvas for the hops to shine while providing enough body for a great drinking experience. So Raise your Gown and Drink It Down!","South Deerfield, Massachusetts",United States,8.50%,80,,,,"Spicy Thai curry, Grilled pork chops, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
4,101755,Berkshire Green Gown Double IPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"A high gravity New England-style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This IPA is the shade of a hazy sunset, and is the perfect pairing for any season in New England. This beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. Grab a Green Gown and Drink It Down!","South Deerfield, Massachusetts",United States,8.50%,75,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,,
5,103268,Berkshire Brewing Gold Spike Golden Ale,Berkshire Brewing Company,,Beer,Ale,Golden / Blonde Ale,,"A pale golden ale featuring a crisp, clean malt flavor, Gold Spike is the perfect quaff for a warm day or when you are just looking for something a bit more refreshing. Brewed true to style, this interpretation of a German Kölsch uses an authentic yeast strain tracing to the beer’s ancestral home of Cologne.","South Deerfield, Massachusetts",United States,4.20%,22,,,,"Grilled chicken, Salad, Seafood",Pint Glass,45-50° F,7.2-10.0° C,,
6,103269,Berkshire Brewing River Ale,Berkshire Brewing Company,,Beer,Ale,Brown Ale,American Brown Ale,"A strong medium bodied dark ale which contains a portion of wheat malt. River Ale has a slightly sweet malty, nutty flavor and is delicately hopped to provide a unique and pleasing taste.",Massachusetts,United States,5.20%,25,,,,"Grilled chicken, Spicy sausage, Sharp cheddar cheese",Pint Glass,45-50° F,7.2-10.0° C,Craft,
7,103270,Berkshire Brewing (BBC) Lost Sailor IPA,Berkshire Brewing Company,,Beer,Ale,IPA,,"A classic British-inspired IPA, Lost Sailor keeps an even keel with a well rounded malt profile to support generous dry-hopping with the time-honored Goldings hop variety.  With its floral and citrus aroma and medium body, Lost Sailor is the perfect session beer, whether lost at sea or in the comfort of your own home or a local pub.",Massachusetts,United States,5.80%,55,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft,
8,103271,Berkshire Brewing Jalapenito IPA,Berkshire Brewing Company,,Beer,Ale,IPA,,"Under cover of cloak and darkness, we took a fresh batch of our new American IPA, Inhopnito, and added in 20lbs of fresh Jalapeños and pineapple purée. It’s a refreshing brew with a bite, medium body and bitterness, yet high in aroma and flavor.","South Deerfield, Massachusetts",United States,6.20%,60,,,,"Spicy Mexican dishes, Grilled chicken, Pepper jack cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,,
9,103272,Berkshire Jalapenito IPA,Berkshire Brewing Company,,Beer,Ale,IPA,,"What is IPA?

IPAs, short for India Pale Ale is a beer characterized by its hoppy character and popularity in the craft beer scene. It was actually invented as a solution to provide beer for the British Empire in the east. To get beer from London to India without spoiling, a brewer named Hodgson invented a heavily hopped beer to survive the journey. Not only did it survive, it actually improved in flavor over time. Thus, the beginnings of the IPAs that are known and loved today were born. Today, IPAs come in a number of styles including British, West Coast, New England, and East Coast, to name a few. Each of these styles has different hop varieties and flavor profiles, fit for any palate.",Massachusetts,United States,6.20%,45,,,,"Spicy Mexican dishes, Grilled chicken, Pepper jack cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
10,103273,Berkshire Brewing Co. Black IPA,Berkshire Brewing Company,,Beer,Ale,IPA,Black IPA,"The first vintage in our Brewer's Choice Series IPA is a Black IPA, showing off with an impressive 70 IBU's. A special mashing technique is used to extract the dark color of the black malt without imparting any of the roasted flavors that typically come with it. The backbone for this India style black ale is an aggressive addition of American-grown ""superalpha"" bittering hops. Later hop additions in the boil, give this beer its unique aromatic properties. Seven days of conditioning on an absurd amount of dry hops add to the powerful floral and citrus performance that dances back and forth for your senses to enjoy, until the very last drop makes its way from your glass.","South Deerfield, Massachusetts",United States,5.00%,45,,,,"Spicy BBQ ribs, Sharp cheddar cheese, Dark chocolate.",Pint Glass,45-50° F,7.2-10.0° C,Craft,
11,103274,Berkshire Brewing Company Green Gown DIPA,Berkshire Brewing Company,,Beer,Ale,IPA,Imperial / Double IPA,"A high gravity New England style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This quarterly release is the shade of a hazy sunset, and is the perfect pairing for any season in New England. The alcohol is substantial enough to warm you in the winter, the aromatics welcome spring with bright floral and fruit, in summer the hop flavors of citrus and melon are reminiscent of fruit salad, and in fall the malt backbone and bready accents complement the cool autumn breezes. Coming in at 8.5% ABV, this beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. 2 row pale malt and German pilsner malt create a canvas for the hops to shine while providing enough body for a great drinking experience.",Massachusetts,United States,8.50%,80,,,,"Spicy Thai curry, Grilled steak, Dark chocolate.",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
12,103275,Berkshire Brewing Tiger Lily Double IPA,Berkshire Brewing Company,,Beer,Ale,IPA,Imperial / Double IPA,"Tiger Lily Double IPA features a blend of flavors like apricot, tangerine, peaches and candied banana, finishing clean and slightly dry.","South Deerfield, Massachusetts",United States,8.00%,85,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
13,103276,Berkshire Spontaneous Creation: Alpha Imperial IPA,Berkshire Brewing Company,,Beer,Ale,IPA,Imperial / Double IPA,"Pungent citrus and tropical stone fruit dominate this Double IPA brewed with oats and wheat and dry hopped with Zamba, Citra & Mosaic hops. We hope you like it!","South Deerfield, Massachusetts",United States,8.00%,85,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
14,103277,Berkshire BLDG8 The Hazy NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"Dry hopped with Mosaic, Citra and Simcoe, our Hazy is based on the first batch of our Oooh Shiny! with notes of orange peel, lime, blueberry and papaya on the nose.","South Deerfield, Massachusetts",United States,6.50%,35,,,,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
15,103278,Berkshire Brewing Company Easy Like Mosaic NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"What is New England / Hazy IPA?

New England / Hazy IPA is a style of beer that has become increasingly popular in recent years. The New England / Hazy IPA (India Pale Ale, for the long version) is characterized by a hazy, slightly opaque appearance and a smooth, creamy mouthfeel. There's a number of beers in this category that are lovingly called juice bombs, because they flavor feels like the perfect combination of orange juice and beer. Thank us later. The flavor is a complex balance of hop bitterness and hop aromas of tropical and citrus fruits, with a hint of malt sweetness. The malt in this beer variety provides a light body and smooth finish that is complemented by light bitterness that doesn't overly linger. You'll find that many, if not most NEIPAs have a higher ABV than other IPA varietals, usually between 5.5% - 7.5% ABV.","South Deerfield, Massachusetts",United States,6.80%,35,,,,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
16,103279,Berkshire Dandy Lion Haze NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"Copiously dry hopped with Galaxy & Citra hops, Dandy Lion Haze produces massive citrus aroma with flavor spanning navel orange, passion fruit, candied mango & pineapple. This hazy New England has a medium body with a soft mouth feel & finishes sweet with a hint of citrus rind.","South Deerfield, Massachusetts",United States,6.70%,40,,,,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
17,103280,Berkshire Easy Like Citra NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"Everybody likes easy, so we made this NEIPA easy to like with Citra, Amarillo and Simcoe hops, a medium body and fermented it with a German style ale yeast. This double dry-hopped brew has a hazy straw color and a clean finish to make Easy Like a session-able NEIPA, easy for you to enjoy any time.","South Deerfield, Massachusetts",United States,6.70%,35,,,,"Spicy Thai curry, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
18,103281,Berkshire Weave Got Hops NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"Featuring Nelson Sauvin hops, bring notes of light grape, citrus and candied tropical fruit with a juicy fruit finish.","South Deerfield, Massachusetts",United States,7.50%,40,,,,"Spicy Thai curry, Grilled chicken tacos, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
19,103282,Easy Like Mosaic NEIPA,Berkshire Brewing Company,,Beer,Ale,IPA,New England / Hazy IPA,"A single hop variation of our popular Easy Like New England Style IPA, created by replacing all of the Citra hops with Mosaic. Hazy and juicy with the bright complexity of mosaic, this beer has notes of mango, grapefruit and pineapple with a clean finish.","South Deerfield, Massachusetts",United States,6.70%,45,,,,"Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,
